account_id,customer_id,account_type,account_number,routing_number,balance,credit_limit,interest_rate,status,opened_date
147dea33-938a-465c-8ab0-4b88a60b9839,0afd6fc2-2e0e-482a-8ed6-c3ba17636f55,Loan,372398340665015,125087953,24583.88,,13.78,Closed,2016-01-28 07:30:53.932765
dfad6dd2-129a-48ae-8f34-5d0340955e29,1507c74d-07cc-4cf0-bd3b-815f3aa31eaa,Credit Card,4721717460577,084146647,-25801.25,6605.9,7.66,Inactive,2016-10-04 09:37:43.932999
55ac8ed3-98d5-4bef-bfff-65487ed980e0,d5cad209-8e95-4b15-9bc9-06d62bf7114d,Credit Card,2268029284056548,091334662,-12200.92,28536.57,16.4,Inactive,2025-07-12 13:13:22.087068
4667bca3-e0e3-4b67-8301-5f4fc57ee6ef,624432ac-11cb-47c8-a961-1fea88a1645c,Credit Card,4844266369476,069326602,67991.85,13058.16,6.56,Active,2016-04-13 07:52:21.048607
be6225be-9c17-4b29-ba81-7e625587b3ea,2c839003-4915-41b0-b251-612ee9366a8b,Loan,,033196910,86133.66,,2.98,Closed,2021-02-16 14:45:30.024440
ad101868-364a-477b-a0f5-5960b02d237c,31ed93fc-9382-46e7-a7ba-6d354a3556e4,Investment,4831196613164,123408741,-40781.26,,,Active,2024-04-15 01:08:28.658221
b269d59d-9aee-4500-894e-1f3ac2d0ab43,299ef440-264e-48ca-81a3-d32cefc0428d,Mortgage,6011437864084080,112389949,879.82,,2.04,Suspended,2022-07-06 11:31:07.494593
caf97e88-5454-4abc-9c6d-57a17e200116,bf622a82-8b07-44e8-80f7-7d6de994ec95,Checking,377037703297041,073304568,1725.49,,,Suspended,2022-08-05 10:31:39.108210
8b091245-dd89-4664-9b48-e55b6df017ae,eca56340-0197-4a09-81bd-dd998b8e960a,Loan,3531157508040151,122918407,67536.55,,22.37,Active,2020-12-18 14:25:20.267474
6e84ca52-e0f4-49ce-aac5-3815f54faf0f,05388ed9-8917-4aee-81c5-23d248a1b3fa,Investment,4150499767693108,,-12962.14,,,Suspended,2017-12-18 11:10:29.161374
