customer_id,first_name,last_name,email,phone,ssn,date_of_birth,address,city,state,zip_code,country,annual_income,employment_status,credit_score,credit_range,created_date
2396cc68-c551-4617-a578-cbb105fc88a3,Angel,Sanchez,daviesjanice@example.org,0133-8908,ZZ 863794 T,1992-06-23,"Flat 23W, Warner light, West Leighview, W8 6DX",,Texas,30372,Belgium,136899.69,Employed,581,Fair,2025-01-02 18:44:07.600540
0e6cd5ab-46c6-4d27-b79e-5ff6158fa98e,Joshua,Martin,elizabethmiles@example.net,,620 571 877,2000-05-28,"Suite 388 96 Cox Corner, Daviston, NSW, 2632",Port Patrickmouth,Australian Capital Territory,89667,Pitcairn Islands,150303.43,Student,729,Good,2024-07-08 00:33:22.482028
1da9bc22-b2ea-44aa-9544-2e6a721e2ab1,Daniel,Moore,teresa28@example.org,(293) 252-8809 x570,460 583 776,2006-04-14,"Studio 24, Arnold plains, Lake Graeme, SG57 1JJ",Andrewside,Pennsylvania,29365,Barbados,41925.37,Unemployed,570,Poor,2021-10-26 12:02:23.155488
1c5fe717-7e20-4749-98b0-2b5bc2f5fade,Michele,Palmer,ilewis@example.net,0863116566,885-94-0888,1948-06-28,"38726 Joshua Gateway, South Lindseyside, BC Y4A 3C7",Lewisfurt,Hawaii,50173,Iceland,33019.27,Self-employed,596,Fair,2025-04-22 09:58:17.232702
910efe14-ecdb-48c6-9b25-40af3f308333,Justin,Moore,tanyariley@example.net,001-350-309-7882x0812,ZZ193990T,1971-01-31,"534 Anderson Rue, Stephenland, AB E4C9Y5",Brianbury,South Australia,21177,Syrian Arab Republic,37495.44,Self-employed,846,Excellent,2023-09-25 10:53:54.850418
a8c77f0b-e3dd-405e-ab51-88525ed6740d,Elizabeth,Huynh,josephpreston@example.net,+44(0)118 496 0493,327 420 550,1947-06-14,"78680 Charles Spurs Apt. 805, South David, NL B4P2J6",South Michelle,Nebraska,03749,Saint Pierre and Miquelon,80204.28,Unemployed,367,Poor,2024-08-02 04:51:26.544479
b184f3c2-8cbf-4b8b-a3f2-cfe44b375142,Leah,Phillips,ebrennan@example.org,(0808)1570754,ZZ 03 65 41 T,1966-10-17,"429 Johnson Roadside, Reedmouth, VIC, 7816",Samuelchester,North Dakota,71076,Haiti,70979.78,Student,738,Good,2021-01-09 04:39:51.423134
49f0b5ff-fa37-49ef-917f-8444e38f2954,Cindy,Cortez,elizabeth56@example.net,,ZZ995777T,1976-11-16,"Studio 95, Damian spring, Ericborough, B03 9DT",Port Troy,Georgia,86491,Uganda,36117.35,Retired,779,Very Good,2024-07-25 23:01:42.366845
32572773-0469-4012-8339-b8a645f289a9,Edward,Williams,murphygillian@example.net,898-687-2774 x348,ZZ714345T,2000-12-06,"2316 Rivera Mountain, Brownchester, MS 77057",Woodsstad,Victoria,55422,Libyan Arab Jamahiriya,104401.65,Unemployed,812,Excellent,2022-01-14 20:13:23.891954
45665729-e6b3-4946-8e19-23b53d169f2a,Anthony,Caldwell,marycalhoun@example.net,(599)901-6272x0465,532 670 148,2007-08-31,"003 Mary Road, East David, QC J6T 3L2",Raymondshire,Maryland,75971,Indonesia,185736.36,Student,631,Fair,2021-01-20 04:37:49.941117
f95faab8-2e06-4c0e-ac17-8fb5dbc5e8bf,Timothy,Jefferson,reedross@example.com,950.967.1657x26284,846-94-9708,1964-12-23,"Studio 3, Pearce skyway, Holtfort, DE7 5LP",Angelahaven,Colorado,32136,Liechtenstein,196147.29,Student,428,Poor,2024-02-16 14:22:29.020241
b68467a7-8fd5-4e26-8951-6eb299fcac1f,Shane,Davis,tmarshall@example.net,288-568-5574 x443,ZZ182337T,1990-04-27,"3524 Jean Crossroad, Brandonton, ON G1V5E8",Petersonton,,15454,Iran,199151.14,Unemployed,748,Very Good,2021-01-16 16:43:43.445321
e8a47074-6800-4be4-90ea-952dfbf5eb84,Edward,Miller,bevanhelen@example.net,+44306 999 0867,305-76-7026,1980-06-30,"34123 Andrea Estate, South Shannonfort, LA 04779",Dianaport,New South Wales,90597,Uzbekistan,30497.27,Unemployed,372,Poor,2024-08-12 03:21:11.251459
e9aaeb92-d9dd-46c3-8ef7-bb2602f5f706,Diane,Stephens,patrick10@example.org,1-871-746-4887,613-06-7079,1982-09-15,"490 Thomas Run, Moonburgh, OR 57633",St. Michaelmouth,New South Wales,21580,Isle of Man,140321.98,Unemployed,733,Good,2022-02-11 18:02:10.393617
377dcd84-07f6-4607-924b-e2402f22a467,Lisa,Gibson,marcus68@example.org,+61-2-3859-7703,817 650 435,1964-04-01,"17127 Hicks Groves, Davenportfort, IA 60372",Bateshaven,California,,Guam,49531.9,Self-employed,585,Fair,2024-10-10 21:29:41.501282
96caf8df-6f05-43f8-8bd1-c6b2e9260eda,Jessica,Grimes,jreed@example.net,+61.7.3396.3605,000-00-0000,1975-11-17,"71870 Robert Shoal Apt. 174, Cindyfurt, SD 11028",Finleyfort,South Carolina,09469,Norfolk Island,66366.41,Retired,797,Very Good,2025-08-29 21:46:38.651428
c2169918-d5b0-4020-90f2-7d7161f35537,Ryan,Hodges,tjackson@example.org,304-855-6238x69222,ZZ923747T,1986-09-07,"759 Fowler Mews, Stephenport, QLD, 2987",South Ashley,South Australia,03376,Falkland Islands (Malvinas),162088.27,Retired,458,Poor,2023-07-03 21:47:08.914052
4614b107-8cbd-4e69-a7ef-7046a8f1a129,Renee,Wall,catherinegomez@example.net,0289018421,317-57-0547,1990-10-23,"PSC 5623, Box 2858, APO AP 36221",Hayleyport,New South Wales,61886,Cambodia,113869.99,Self-employed,370,Poor,2024-12-22 04:43:34.696093
ac9827d5-c463-4f5a-8fd6-63bd653e57a6,Tammy,Davis,bakerdavid@example.com,+1 (451) 370-9859,651-60-4952,1952-01-09,"USNV Ferrell, FPO AE 13240",South Sandra,Victoria,77484,Turks and Caicos Islands,188573.6,Self-employed,621,Fair,2023-12-13 10:14:13.099102
f5bbbcc2-7269-4cc6-9d65-1d1896450d18,Christina,Johnson,scottsampson@example.com,+1-258-750-6431x71390,ZZ 93 18 39 T,1995-11-23,"042 Sheila glen, North Irene, G0 3YP",West Brian,New South Wales,98236,Lebanon,62302.0,Unemployed,283,Poor,2024-07-25 05:20:57.565700
4e80bf80-a661-4cb4-93a5-137977a5601f,Shannon,Harding,stephen00@example.com,+61-2-7711-5921,ZZ998569T,1973-04-03,"8 Russell End, Morganmouth, VIC, 0215",Elizabethstad,Utah,62664,Bermuda,77391.28,Employed,437,Poor,2021-02-20 15:57:34.533581
2655956e-e1fe-4e91-8d2a-269897a5c445,Julie,Cain,elizabeth65@example.net,4945-1983,ZZ 731585 T,1992-09-18,"402 Campbell inlet, Brucetown, G96 2AD",Burtonmouth,Mississippi,41347,Singapore,183927.83,Employed,394,Poor,2025-02-02 13:37:26.572543
e5a8071d-9e1f-4f84-95ea-f00b9611dba9,Charles,Craig,fstanley@example.net,+61-7-3815-6149,540-86-5054,1958-07-26,"24451 Tyler Meadows Apt. 268, New Angelica, TN 46922",Hensleyton,Australian Capital Territory,60761,Tokelau,190383.91,Self-employed,336,Poor,2023-07-21 20:37:45.174769
b8f5aa92-5b3f-4642-a55a-1d27a7430d2e,Jenna,Roberts,burchgeorge@example.net,(02)61369681,892-40-5563,1965-08-27,"835 Wood viaduct, East Timothy, M32 1GU",Maldonadoshire,Tasmania,20287,Bangladesh,42988.88,Student,716,Good,2022-11-19 23:14:41.637764
000bccf5-ac3a-46f3-ad28-19afb4a43467,Laura,Bell,steven00@example.com,,ZZ978207T,1995-10-06,"37788 Michael Haven, Ortizmouth, QC N2C 9N7",Jenniferberg,New South Wales,76881,United States Virgin Islands,97049.8,Self-employed,573,Poor,2022-03-23 22:52:51.203719
14c0255a-8a1f-4dd7-859a-d32c41077acd,David,Collins,lisa81@example.net,0450 542 357,ZZ 22 14 18 T,1986-05-16,"2 Jennifer cape, Hargreavesbury, PO47 8JN",Lake Erika,Western Australia,,Macao,140505.81,Retired,636,Fair,2025-07-04 00:10:11.079638
b62bca18-fe62-4c27-bb6d-aab3af2769b0,Rachael,Wong,jsawyer@example.org,812-247-8261x3750,515-48-3863,2007-04-30,"1522 Justin Village, Hortonberg, YT T1A5C4",Griffithsport,Maryland,16471,Dominican Republic,126603.2,Unemployed,275,Poor,2023-11-14 06:17:01.644600
9137dc7d-356d-4296-87b2-d88536db4edc,Bryan,Carlson,jennifercarter@example.org,(996) 218-5188,400-61-0714,2006-06-23,"53195 Bradley Plains Suite 277, Port Dennis, SK B1M4J1",Zacharyside,South Australia,05300,France,145200.0,Self-employed,672,Good,2024-12-25 20:17:36.007231
5ef6bca8-2af7-4c03-82b2-7cd95e2e652b,Michelle,Nelson,vpreston@example.com,(03).7758.4161,617-24-8938,1964-11-28,"7962 Bell Canyon Suite 964, North Emilyfurt, MN 67752",East Tinamouth,Florida,09313,Slovakia (Slovak Republic),122022.18,Self-employed,730,Good,2022-06-26 18:25:17.627845
7d5ab1a2-63ef-49ab-8331-af765e8b67e1,Cassie,Rush,khines@example.org,+1 (954) 310-2786,269-34-7312,2007-06-11,"21727 Lisa Vista, Elizabethland, ON M6H9H4",Port Dominic,Australian Capital Territory,47804,Lao People's Democratic Republic,81393.62,Retired,752,Very Good,2023-09-25 22:45:30.624240
add87528-b8b0-4841-9d16-1779ef860739,Cameron,Key,khammond@example.org,+44(0)121 496 0177,246 530 489,1955-01-17,"414 Cynthia Plaza Suite 249, New Danielleshire, PE H1N 2B1",Port Ashley,New York,82704,Norway,66102.0,Unemployed,530,Poor,2023-02-02 08:41:16.648649
94ee7c29-dcbc-4172-9522-c4c29ded6891,Kenneth,Barker,dsanderson@example.org,655 562 5881,ZZ147321T,1962-12-15,"595 Kathryn Port, Jimenezport, WA, 2016",South Brandy,Arkansas,37378,Nepal,94939.25,Self-employed,305,Poor,2022-02-07 05:48:17.177807
ba837714-4322-4311-85e3-fc48d3249430,Melanie,Anderson,kathryn50@example.com,001-983-658-4168,132-13-6454,1994-10-01,"98680 Benjamin Station, Lindahaven, NU X6G 3N7",Williamhaven,South Australia,62746,Heard Island and McDonald Islands,48334.34,Retired,843,Excellent,2024-01-16 21:55:18.211917
73bd8867-73a8-4174-9b29-64a8e3b9967b,Brandy,Carlson,jennifersilva@example.org,03 0913 0756,ZZ368970T,1977-05-07,"2785 Lowe Ways Suite 973, West Angela, NB M6J8V6",Davidside,Victoria,45738,French Guiana,108068.03,Unemployed,553,Poor,2022-02-10 16:17:19.779536
